product_id,product_name,category,supplier_id,unit_price,weight_kg,is_active
20063,Cross-platform mobile attitude,Pharmaceuticals,1068,625.69,60.93,N
20064,Team-oriented systematic database,Apparel,1213,939.18,70.42,N
20065,Mandatory modular middleware,Sporting Goods,1189,1137.83,0.25,N
20066,Virtual static Graphical User Interface,Office Supplies,1184,2125.57,77.45,N
20067,Down-sized reciprocal framework,Industrial Equipment,1146,845.71,68.2,Y
20068,Multi-lateral intermediate customer loyalty,Sporting Goods,1024,,74.36,N
20069,Proactive scalable toolset,Groceries,1104,2489.24,24.18,Y
20070,Compatible national data-warehouse,Pharmaceuticals,1185,627.47,51.93,Y
20071,Horizontal empowering application,Apparel,1220,,38.17,N
20072,Innovative object-oriented initiative,Pharmaceuticals,1005,22.14,79.05,Y
20073,Face-to-face regional synergy,Apparel,1118,958.91,29.44,Y
20074,Cross-group transitional paradigm,Industrial Equipment,1074,,52.02,Y
20075,Cross-platform optimizing Graphical User Interface,Sporting Goods,1211,1540.96,6.98,N
20076,Future-proofed asymmetric open system,Pharmaceuticals,1180,2408.2,19.86,N
20077,Progressive methodical interface,Automotive Parts,1014,2120.03,48.57,Y
20078,Expanded grid-enabled utilization,Apparel,1123,1238.23,51.06,Y
20079,Compatible solution-oriented framework,Groceries,1185,2334.94,67.13,Y
20080,Profit-focused exuding Internet solution,Apparel,1242,,5.45,Y
20081,Switchable needs-based functionalities,Office Supplies,1204,1267.51,33.91,Y
20082,Exclusive intangible initiative,Apparel,1143,210.83,16.3,N
20083,Function-based regional migration,Toys,1034,776.8,67.73,N
20084,Persevering static task-force,Industrial Equipment,1060,1134.52,53.3,Y
20085,Reactive contextually-based adapter,Groceries,1071,1754.35,27.77,N
20086,Self-enabling tertiary model,Automotive Parts,1086,930.93,9.49,N
20087,Enterprise-wide object-oriented methodology,Automotive Parts,1140,1310.59,46.15,N
20088,Extended stable synergy,Industrial Equipment,1029,1250.03,12.63,Y
20089,Persistent encompassing productivity,Electronics,1117,1852.47,69.04,N
20090,Public-key reciprocal throughput,Electronics,1077,449.04,73.12,N
20091,Optional non-volatile superstructure,Pharmaceuticals,1128,1041.81,6.28,Y
20092,Self-enabling analyzing model,Office Supplies,1092,559.52,76.33,N
20093,Exclusive high-level Local Area Network,Office Supplies,1160,819.6,29.55,Y
20094,Digitized disintermediate collaboration,Sporting Goods,1238,921.95,62.08,Y
20095,User-friendly systemic task-force,Toys,1078,,43.35,Y
20096,Innovative intermediate installation,Toys,1172,5.65,58.19,Y
20097,Intuitive asymmetric productivity,Electronics,1215,1231.09,11.43,N
20098,Expanded incremental flexibility,Pharmaceuticals,1267,1033.82,59.84,N
20099,Horizontal secondary complexity,Electronics,1039,1480.56,77.14,N
20100,Function-based systemic policy,Pharmaceuticals,1202,1752.41,21.79,Y
20101,Front-line impactful encoding,Sporting Goods,1080,265.93,32.55,Y
20102,Customizable coherent core,Automotive Parts,1232,772.15,7.28,Y
20103,Assimilated dynamic website,Pharmaceuticals,1111,2090.14,56.91,Y
20104,Integrated maximized matrix,Groceries,1154,651.9,32.38,Y
20105,Realigned intermediate interface,Groceries,1049,1156.18,4.98,Y
20106,Stand-alone 5thgeneration customer loyalty,Apparel,1206,931.85,20.74,Y
20107,Diverse encompassing challenge,Sporting Goods,1102,2256.44,7.4,Y
20108,Assimilated empowering utilization,Electronics,1022,2355.82,45.93,Y
20109,Grass-roots stable neural-net,Groceries,1196,1708.67,72.67,Y
20110,Enhanced secondary analyzer,Industrial Equipment,1018,1536.04,23.64,Y
20111,Up-sized mobile toolset,Groceries,1045,700.88,51.43,Y
20112,Ameliorated analyzing artificial intelligence,Pharmaceuticals,1196,1955.23,62.53,N
20113,Intuitive real-time framework,Electronics,1199,677.55,17.56,Y
20114,Cloned incremental hierarchy,Industrial Equipment,1242,1324.52,77.92,N
20115,Synchronized stable array,Electronics,1274,2041.08,75.83,N
20116,Object-based uniform challenge,Groceries,1182,2338.14,47.42,Y
20117,Front-line bifurcated orchestration,Industrial Equipment,1181,2369.0,75.87,N
20118,User-centric motivating capability,Sporting Goods,1278,774.01,4.54,N
20119,Programmable static paradigm,Industrial Equipment,9026,3.71,10.48,N
20120,Vision-oriented multi-tasking extranet,Industrial Equipment,1031,56.74,11.38,N
20121,Proactive background encoding,Toys,1038,935.23,26.96,N
20122,Right-sized bottom-line throughput,Groceries,1250,1623.65,44.98,N
20123,Intuitive full-range paradigm,Groceries,1115,1664.5,58.73,Y
20124,User-centric human-resource workforce,Industrial Equipment,1294,980.22,48.21,Y
20125,User-friendly value-added encoding,Sporting Goods,1290,262.07,59.64,Y
20126,Optimized didactic circuit,Pharmaceuticals,1046,2054.51,21.25,Y
20127,Customer-focused context-sensitive data-warehouse,Electronics,1056,1801.59,58.62,N
20128,Grass-roots leadingedge installation,Toys,1194,879.38,38.39,Y
20129,Function-based optimizing approach,Electronics,1084,1129.32,25.53,N
20130,Pre-emptive national hub,Apparel,1193,403.94,71.86,N
20131,Total bifurcated functionalities,Groceries,1016,1079.45,34.76,Y
20132,Quality-focused interactive leverage,Office Supplies,1210,1743.6,22.56,Y
20133,Synergized dynamic focus group,Groceries,1282,2099.96,0.36,N
20134,Digitized high-level leverage,Furniture,1103,244.27,23.38,N
20135,Universal holistic function,Automotive Parts,1204,1178.42,43.55,N
20136,Ameliorated secondary portal,Automotive Parts,1096,1115.55,21.11,Y
20137,Automated user-facing protocol,Pharmaceuticals,1050,216.1,33.15,Y
20138,Business-focused system-worthy toolset,Toys,1199,2046.38,54.98,Y
20139,Synchronized disintermediate extranet,Toys,1244,748.53,57.16,Y
20140,Reactive human-resource function,Sporting Goods,1062,2373.24,78.75,Y
20141,Sharable tangible hierarchy,Toys,1022,1059.59,65.81,N
20142,Synergized bottom-line monitoring,Office Supplies,1035,219.39,26.12,Y
20143,Front-line leadingedge info-mediaries,Apparel,1268,1954.65,11.9,Y
20144,Advanced hybrid extranet,Apparel,1055,1407.58,69.4,N
20145,Innovative background system engine,Industrial Equipment,1197,1637.66,3.05,Y
20146,Front-line exuding database,Pharmaceuticals,1206,98.88,3.99,N
20147,Diverse leadingedge product,Automotive Parts,1011,845.99,67.44,Y
20148,Intuitive zero administration project,Sporting Goods,1069,752.6,25.7,Y
20149,Open-source 5thgeneration focus group,Toys,1097,1105.41,60.77,Y
20150,Configurable zero-defect matrix,Office Supplies,1034,779.19,62.45,Y
20151,Phased user-facing installation,Furniture,1099,2188.2,20.0,Y
20152,Managed transitional interface,Sporting Goods,1141,922.14,50.85,Y
20153,Cross-platform cohesive standardization,Groceries,1251,1485.92,37.99,N
20154,Fundamental motivating architecture,Toys,1047,714.1,68.31,Y
20155,Multi-channeled intangible portal,Automotive Parts,1116,1694.88,41.09,Y
20156,Upgradable neutral support,Groceries,1243,2278.97,0.73,N
20157,Inverse logistical solution,Toys,1141,1060.67,36.75,N
20158,Assimilated well-modulated application,Office Supplies,1300,257.58,77.32,N
20159,Stand-alone secondary contingency,Sporting Goods,1153,1711.66,79.07,N
20160,Self-enabling leadingedge utilization,Office Supplies,1153,472.52,71.98,N
20161,Stand-alone client-driven ability,Electronics,1164,1702.53,79.8,N
20162,Open-architected dedicated product,Industrial Equipment,1019,1458.39,27.49,N
20163,Integrated foreground orchestration,Groceries,1184,1269.27,70.13,N
20164,Configurable bifurcated complexity,Office Supplies,1133,1813.52,14.69,Y
20165,Fully-configurable multi-state structure,Automotive Parts,1114,889.5,70.95,N
20166,Visionary solution-oriented task-force,Industrial Equipment,1061,1177.4,49.67,Y
20167,De-engineered radical software,Toys,1196,1325.54,68.35,N
20168,Open-source foreground knowledge user,Sporting Goods,1292,2232.33,69.0,Y
20169,Polarized user-facing challenge,Electronics,1091,,21.92,
20170,Fundamental context-sensitive software,Apparel,1082,1224.96,34.73,N
20171,Reverse-engineered fresh-thinking website,Office Supplies,1197,13.66,,Y
20172,Horizontal dedicated artificial intelligence,Furniture,1010,1692.52,70.16,Y
20173,Operative holistic contingency,Electronics,1157,419.22,23.3,N
20174,Object-based homogeneous orchestration,Groceries,1223,2220.16,72.12,
20175,Face-to-face 3rdgeneration adapter,Furniture,1207,49.77,10.54,Y
20176,Realigned secondary pricing structure,Electronics,1064,917.75,51.24,Y
20177,Self-enabling discrete array,Electronics,1056,1634.61,9.31,Y
20178,Persistent dedicated firmware,Furniture,1243,1755.27,50.44,N
20179,Total composite application,Apparel,1071,1048.23,49.43,N
20180,Open-architected regional interface,Automotive Parts,1102,1523.29,77.85,Y
20181,Right-sized empowering collaboration,Furniture,1021,1371.25,38.48,Y
20182,Cross-group holistic concept,Sporting Goods,1057,2088.41,7.25,Y
20183,Re-contextualized bottom-line access,Sporting Goods,1132,1611.55,23.72,N
20184,Universal multi-tasking Internet solution,Pharmaceuticals,1021,2130.92,25.05,
20185,Visionary logistical service-desk,Groceries,1024,26.16,13.68,N
20186,Proactive bottom-line definition,Pharmaceuticals,1048,932.81,32.09,N
20187,Universal demand-driven core,Groceries,1245,2000.15,55.71,Y
20188,Future-proofed executive synergy,Industrial Equipment,1054,1041.24,45.54,N
20189,Proactive homogeneous capacity,Groceries,1015,2156.71,39.08,Y
20190,Optional demand-driven policy,Electronics,1134,1638.12,54.25,Y
20191,Extended executive superstructure,Industrial Equipment,1174,1298.71,52.95,N
20192,Synergistic content-based instruction set,Office Supplies,1077,2097.9,,N
20193,Enterprise-wide incremental utilization,Apparel,1254,2173.8,25.68,Y
20194,Digitized 4thgeneration frame,Toys,1282,1609.01,6.35,Y
20195,Fundamental disintermediate process improvement,Apparel,1256,1118.78,,Y
20196,Organized dynamic hub,Apparel,1286,1373.65,77.06,Y
20197,Reduced systemic project,Pharmaceuticals,1234,2375.99,65.34,N
20198,Persevering attitude-oriented access,Apparel,1187,1790.35,,N
20199,Phased client-driven Graphic Interface,Apparel,1281,1305.92,13.17,N
20200,Team-oriented hybrid software,Furniture,1055,637.21,74.42,Y
20201,Extended transitional info-mediaries,Toys,1174,271.2,50.68,N
20202,Triple-buffered interactive support,Office Supplies,1235,1646.82,39.93,N
20203,Right-sized eco-centric archive,Office Supplies,1300,1208.36,72.82,
20204,Cross-platform next generation approach,Industrial Equipment,1066,260.68,25.78,Y
20205,Business-focused full-range encoding,Pharmaceuticals,1141,995.88,36.26,N
20206,Phased heuristic portal,Office Supplies,1281,2152.05,16.11,N
20207,Synchronized radical strategy,Groceries,1068,2453.38,55.56,Y
20208,User-friendly 6thgeneration ability,Industrial Equipment,1288,1201.96,56.82,N
20209,Function-based motivating process improvement,Office Supplies,1217,2021.15,30.5,Y
20210,Multi-tiered exuding infrastructure,Automotive Parts,1083,2458.86,5.01,Y
20211,Synchronized holistic capacity,Apparel,1184,2035.44,54.06,N
20212,Realigned 6thgeneration paradigm,Automotive Parts,1122,1278.28,3.81,N
20213,Enhanced empowering concept,Automotive Parts,1283,136.4,69.51,Y
20214,Profit-focused modular Graphical User Interface,Office Supplies,1189,1888.26,15.76,N
20215,Persistent clear-thinking array,Apparel,1091,2458.67,13.94,N
20216,Intuitive tertiary moderator,Groceries,1143,1392.38,,Y
20217,Optional client-server firmware,Pharmaceuticals,1021,385.95,61.9,N
20218,Customizable foreground analyzer,Office Supplies,1252,1975.19,62.73,Y
20219,De-engineered modular focus group,Office Supplies,1267,172.3,43.47,Y
20220,User-friendly high-level Internet solution,Automotive Parts,1170,829.0,60.22,Y
20221,Horizontal empowering pricing structure,Sporting Goods,1059,1673.01,51.4,Y
20222,Virtual empowering model,Apparel,1165,954.67,43.24,N
20223,Intuitive intermediate concept,Sporting Goods,1264,2007.44,23.75,Y
20224,Intuitive user-facing matrix,Office Supplies,1050,420.15,50.17,Y
20225,Virtual coherent open architecture,Furniture,1218,2089.49,56.23,Y
20226,Switchable scalable website,Pharmaceuticals,1079,61.33,5.91,Y
20227,Organic actuating core,Automotive Parts,1295,2054.41,36.12,N
20228,Distributed actuating emulation,Industrial Equipment,1061,1338.02,,N
20229,Enterprise-wide 5thgeneration leverage,Automotive Parts,1258,267.13,22.56,Y
20230,Fundamental cohesive strategy,Furniture,1243,392.5,31.31,Y
20231,Persistent intermediate budgetary management,Pharmaceuticals,1153,1693.87,0.94,Y
20232,Proactive 6thgeneration intranet,Toys,1003,1432.65,75.76,N
20233,Multi-channeled tertiary open architecture,Office Supplies,1109,1032.81,14.76,Y
20234,Pre-emptive logistical methodology,Industrial Equipment,1093,1678.1,68.12,N
20235,Customizable uniform circuit,Apparel,1282,184.72,15.83,N
20236,Decentralized grid-enabled array,Furniture,1066,1678.9,49.58,N
20237,Expanded executive contingency,Automotive Parts,1169,1541.62,12.23,N
20238,Down-sized value-added migration,Furniture,1087,14.07,56.99,N
20239,Future-proofed non-volatile protocol,Pharmaceuticals,1069,1699.59,37.05,Y
20240,Reduced didactic paradigm,Apparel,1090,1614.59,68.7,N
20241,Adaptive multi-tasking throughput,Electronics,1040,1819.11,50.55,Y
20242,Re-engineered contextually-based instruction set,Office Supplies,1019,1379.88,43.2,N
20243,Compatible dynamic throughput,Industrial Equipment,1115,2228.81,23.32,N
20244,Proactive systematic attitude,Furniture,1187,1256.41,64.53,Y
20245,Managed 4thgeneration forecast,Groceries,1072,1116.66,45.29,N
20246,Synergized systemic capability,Electronics,1248,2348.06,39.04,Y
20247,Object-based holistic parallelism,Pharmaceuticals,1106,1295.68,73.44,N
20248,Customer-focused fresh-thinking collaboration,Office Supplies,1166,259.86,21.92,Y
20249,Assimilated attitude-oriented knowledgebase,Pharmaceuticals,1193,1634.88,71.86,Y
20250,Triple-buffered stable matrices,Pharmaceuticals,1265,1015.79,38.59,Y
20251,Persevering responsive flexibility,Apparel,1226,415.68,22.5,Y
20252,Right-sized stable ability,Toys,1061,1653.45,57.63,Y
20253,Managed 6thgeneration projection,Toys,1083,,3.5,N
20254,Secured local Graphic Interface,Industrial Equipment,1263,99.9,13.35,N
20255,Upgradable upward-trending website,Automotive Parts,1289,1594.78,17.37,N
20256,Re-contextualized clear-thinking data-warehouse,Toys,1088,549.97,63.58,N
20257,Business-focused secondary forecast,Pharmaceuticals,1262,662.77,47.74,Y
20258,Inverse analyzing synergy,Office Supplies,1056,43.37,40.37,Y
20259,Compatible neutral portal,Industrial Equipment,1091,1190.72,70.23,Y
20260,Multi-tiered background initiative,Industrial Equipment,1247,1649.16,0.15,N
20261,Function-based context-sensitive encoding,Electronics,1268,1052.87,34.35,N
20262,Visionary impactful array,Industrial Equipment,1180,1473.44,10.75,Y
20263,Ameliorated demand-driven complexity,Office Supplies,1146,1496.53,15.16,Y
20264,Networked zero-defect initiative,Furniture,1267,19.97,25.31,N
20265,Horizontal secondary system engine,Office Supplies,1300,635.57,29.28,Y
20266,Streamlined coherent capability,Office Supplies,1212,1381.16,29.65,N
20267,Innovative mobile website,Toys,1296,862.2,68.41,N
20268,Optional user-facing workforce,Office Supplies,1083,252.5,27.11,Y
20269,Integrated systemic portal,Electronics,1083,973.98,65.87,Y
20270,De-engineered heuristic secured line,Pharmaceuticals,1033,659.2,3.07,N
20271,Cross-platform holistic migration,Groceries,1030,2364.4,35.15,N
20272,Exclusive mobile knowledge user,Industrial Equipment,1100,85.96,55.89,N
20273,Networked methodical flexibility,Groceries,1123,1638.24,22.11,N
20274,Re-contextualized radical interface,Apparel,1103,1295.32,43.99,N
20275,Cross-group web-enabled interface,Automotive Parts,1178,2408.29,77.05,Y
20276,Multi-layered reciprocal contingency,Office Supplies,1134,439.24,5.84,N
20277,Optional responsive interface,Industrial Equipment,1276,2033.24,35.45,Y
20278,Cross-group 6thgeneration migration,Sporting Goods,1174,2403.17,71.73,N
20279,Mandatory maximized service-desk,Furniture,1035,957.92,18.43,Y
20280,Face-to-face secondary software,Apparel,1135,622.15,59.92,Y
20281,Universal coherent methodology,Furniture,1244,786.05,21.56,Y
20282,Progressive responsive project,Furniture,1256,1843.31,69.83,Y
20283,Progressive attitude-oriented frame,Apparel,1183,391.68,6.33,Y
20284,Persistent intermediate artificial intelligence,Sporting Goods,1278,2395.07,25.27,N
20285,Polarized exuding collaboration,Office Supplies,1252,458.81,17.81,
20286,De-engineered systemic framework,Office Supplies,1217,1196.84,27.82,N
20287,Fully-configurable multi-state interface,Sporting Goods,1062,1746.21,0.72,Y
20288,Implemented non-volatile application,Automotive Parts,1167,905.28,21.06,N
20289,Reactive asynchronous analyzer,Toys,1188,461.42,56.07,N
20290,Profound bi-directional migration,Groceries,1231,451.36,54.9,Y
20291,Optimized incremental attitude,Toys,1285,1081.68,64.01,Y
20292,Persistent stable success,Groceries,1091,1054.96,67.96,N
20293,Re-contextualized eco-centric help-desk,Industrial Equipment,1154,628.93,7.96,N
20294,Function-based optimal artificial intelligence,Apparel,1244,2097.75,26.81,N
20295,Visionary motivating adapter,Apparel,1177,51.55,54.38,Y
20296,Customizable user-facing protocol,Automotive Parts,9049,2448.47,53.87,Y
20297,Persistent context-sensitive toolset,Sporting Goods,1196,1534.93,11.63,N
20298,Enterprise-wide hybrid analyzer,Industrial Equipment,1216,1578.92,72.57,N
20299,Configurable intangible strategy,Automotive Parts,1163,1633.23,31.67,N
20300,Innovative foreground parallelism,Toys,1267,2413.88,68.34,N
20301,Up-sized logistical system engine,Toys,1041,528.01,5.15,Y
20302,Synchronized local process improvement,Apparel,1204,1310.91,49.47,N
20303,Fundamental global workforce,Automotive Parts,1159,574.93,10.16,Y
20304,Enterprise-wide didactic contingency,Pharmaceuticals,1183,2151.2,37.4,N
20305,Configurable value-added portal,Office Supplies,1070,2423.92,47.83,N
20306,Fundamental systematic benchmark,Office Supplies,1269,1600.19,27.81,N
20307,Optional national adapter,Automotive Parts,1158,915.73,0.89,Y
20308,Adaptive hybrid budgetary management,Office Supplies,1177,,73.77,Y
20309,Advanced composite projection,Industrial Equipment,1221,1995.32,0.63,N
20310,Polarized logistical solution,Toys,1203,626.24,17.69,N
20311,Open-architected stable synergy,Office Supplies,1146,1621.85,33.06,Y
20312,Robust uniform matrix,Industrial Equipment,1057,1592.96,56.05,Y
20313,Innovative regional pricing structure,Electronics,1026,2424.35,8.23,Y
20314,Multi-lateral system-worthy service-desk,Electronics,1120,227.31,27.39,N
20315,Team-oriented systematic infrastructure,Electronics,1238,1742.94,67.49,
20316,Innovative background capacity,Sporting Goods,1201,180.32,71.66,Y
20317,Devolved 24/7 core,Furniture,1063,2436.55,78.0,Y
20318,Customizable 3rdgeneration standardization,Apparel,1236,1838.84,78.57,N
20319,Ergonomic 4thgeneration database,Electronics,1166,398.21,43.99,N
20320,Polarized solution-oriented circuit,Electronics,1102,902.35,17.46,N
20321,Streamlined disintermediate Internet solution,Automotive Parts,1008,420.07,31.69,N
20322,Self-enabling national core,Apparel,1080,929.75,40.02,Y
20323,Cross-group exuding throughput,Groceries,1031,890.08,63.33,N
20324,Persistent client-server leverage,Electronics,1225,1833.51,28.69,N
20325,Optimized 3rdgeneration budgetary management,Office Supplies,1225,1398.44,15.22,N
20326,Down-sized coherent support,Industrial Equipment,1141,2169.42,44.38,Y
20327,Total leadingedge matrix,Sporting Goods,1135,,51.06,Y
20328,Phased 3rdgeneration knowledge user,Furniture,1187,1940.49,5.11,Y
20329,Reduced dynamic customer loyalty,Office Supplies,1269,1708.69,22.69,Y
20330,Implemented non-volatile infrastructure,Electronics,1268,1647.91,10.43,N
20331,Business-focused full-range access,Industrial Equipment,1099,248.69,31.12,N
20332,Customer-focused responsive structure,Industrial Equipment,1026,917.15,1.1,Y
20333,Optional intangible methodology,Electronics,1240,2002.95,59.49,Y
20334,User-centric optimal policy,Apparel,1137,1323.49,6.28,Y
20335,Upgradable neutral frame,Furniture,1119,1330.09,52.57,N
20336,Automated mobile initiative,Industrial Equipment,1055,1916.18,36.72,Y
20337,Pre-emptive multimedia parallelism,Office Supplies,1093,1375.81,12.7,N
20338,Up-sized reciprocal service-desk,Pharmaceuticals,1162,1376.1,33.02,N
20339,Pre-emptive discrete structure,Furniture,1124,1408.74,44.04,N
20340,Centralized multi-tasking adapter,Electronics,1230,2399.64,78.64,N
20341,Optimized object-oriented functionalities,Furniture,1004,752.23,25.23,N
20342,Reactive asymmetric flexibility,Industrial Equipment,1284,1279.16,,Y
20343,Stand-alone intangible leverage,Industrial Equipment,1136,918.97,20.54,Y
20344,Customizable modular process improvement,Sporting Goods,1040,1809.5,66.07,Y
20345,Stand-alone grid-enabled knowledge user,Industrial Equipment,1154,95.35,62.42,N
20346,Total intermediate adapter,Apparel,1214,2325.75,18.18,Y
20347,Diverse executive success,Office Supplies,1196,137.21,43.22,Y
20348,Ergonomic methodical hardware,Toys,1079,128.2,60.24,N
20349,Organic discrete middleware,Groceries,1149,1966.35,6.65,N
20350,Face-to-face optimizing software,Office Supplies,1135,214.53,55.84,Y
20351,Mandatory real-time structure,Industrial Equipment,1250,989.51,49.3,Y
20352,Switchable maximized capacity,Pharmaceuticals,1137,1942.38,46.1,N
20353,Implemented uniform structure,Pharmaceuticals,1179,477.84,1.99,N
20354,Networked intangible service-desk,Furniture,1075,1102.28,29.94,Y
20355,Streamlined user-facing hierarchy,Industrial Equipment,1028,609.13,69.51,N
20356,Phased cohesive process improvement,Sporting Goods,1057,,16.76,N
20357,Expanded executive solution,Groceries,1281,1208.6,53.48,Y
20358,User-friendly background secured line,Automotive Parts,1131,427.46,55.74,Y
20359,Polarized clear-thinking conglomeration,Automotive Parts,1035,972.84,73.03,Y
20360,Exclusive cohesive portal,Toys,1198,579.46,56.79,Y
20361,Pre-emptive bandwidth-monitored utilization,Sporting Goods,1096,498.79,,N
20362,Operative modular framework,Groceries,1171,,54.76,N
20363,Front-line demand-driven open architecture,Toys,1032,1565.23,,N
20364,Business-focused 3rdgeneration help-desk,Toys,1116,380.97,7.07,Y
20365,Fundamental heuristic service-desk,Groceries,1214,602.42,25.03,Y
20366,Diverse context-sensitive middleware,Industrial Equipment,1106,1631.88,64.02,Y
20367,Automated asymmetric Graphical User Interface,Groceries,1221,2489.22,45.21,Y
20368,Optional bifurcated process improvement,Groceries,1061,461.97,61.25,N
20369,Focused bottom-line open architecture,Automotive Parts,1156,1108.63,15.08,Y
20370,Face-to-face mobile firmware,Industrial Equipment,1137,1514.8,18.61,N
20371,Mandatory zero tolerance help-desk,Industrial Equipment,1069,1256.81,51.98,N
20372,Visionary 6thgeneration throughput,Furniture,1071,411.14,,N
20373,Realigned encompassing collaboration,Furniture,1114,1856.43,5.34,N
20374,Team-oriented multimedia portal,Furniture,1167,2167.2,62.11,N
20375,Synchronized bi-directional strategy,Industrial Equipment,1202,1529.54,42.04,Y
20376,Business-focused leadingedge website,Electronics,1232,1143.34,19.7,Y
20377,Persevering web-enabled budgetary management,Electronics,1286,969.72,35.19,N
20378,Customer-focused zero tolerance pricing structure,Automotive Parts,1237,417.88,4.41,
20379,Seamless zero tolerance benchmark,Office Supplies,1232,227.92,62.31,Y
20380,Realigned 6thgeneration middleware,Sporting Goods,1202,,36.32,N
20381,Customer-focused composite product,Groceries,1047,626.71,9.93,N
20382,Decentralized demand-driven hierarchy,Toys,1044,1310.5,78.02,Y
20383,Diverse upward-trending frame,Groceries,1195,111.68,45.26,
20384,Triple-buffered leadingedge task-force,Electronics,1075,448.81,24.8,Y
20385,Profit-focused modular superstructure,Furniture,1061,,,N
20386,Cross-platform coherent project,Industrial Equipment,1279,2019.02,19.07,N
